ID;gender;age;Style;Category;Artist;Title;area;Year;url;Artist Info URL;;smile;smiledetailed;pitch;roll;yaw;eyes;eyesdetailed;mouth;mouthdetailed;happiness;neutral;sadness
339;Female;33;Post Renaissance Art;Neoclassicism,Romanticism;Ary Scheffer;Charlotte Rothsch, Baroness Anselm De Rothschild;South America;1828;https://use2-uploads0.wikiart.org/00151/images/ary-scheffer/charlotte-rothsch-baroness-anselm-de-rothschild-1828.jpg;https://www.wikiart.org/en/ary-scheffer;;no;13.29;3.159.983;17.283.098;-22.782.133;open;99.8;closed;1;898;99.098;0
343;Male;82;Post Renaissance Art;Romanticism;Joaquin Manuel Fernandez Cruzado;Retrato de hombre;Europe;1830;https://use2-uploads7.wikiart.org/images/joaquin-manuel-fernandez-cruzado/retrato-de-hombre-1830.jpg;https://www.wikiart.org/en/joaquin-manuel-fernandez-cruzado;;no;0.06;52.631.516;-39.528.737;8.718.282;open;95.022;closed;1;125;99.394;474
345;Female;58;Post Renaissance Art;Realism;George Catlin;Kei-a-gis-gis, a woman of the Plains Ojibwa;Europe;1832;https://use2-uploads4.wikiart.org/images/george-catlin/kei-a-gis-gis-a-woman-of-the-plains-ojibwa-1832.jpg;https://www.wikiart.org/en/george-catlin;;yes;60.414;74.872.403;44.631.176;1.795.415;open;100;closed;362;97.891;17;1.082
349;Male;73;Post Renaissance Art;Realism;George Catlin;"M&#243;-sho-la-t&#250;b-bee, He Who Puts Out and Kills, Chief of the Tribe";Europe;1834;https://use2-uploads5.wikiart.org/images/george-catlin/m-sho-la-t-b-bee-he-who-puts-out-and-kills-chief-of-the-tribe-1834.jpg;https://www.wikiart.org/en/george-catlin;;no;579;34.985.762;-7.926.125;-20.816.854;open;99.812;closed;0;6.366;85.299;847
416;Female;28;Post Renaissance Art;Realism;Nicolae Grigorescu;Peasant Woman from Muscel;Africa;1874;https://use2-uploads1.wikiart.org/images/nicolae-grigorescu/peasant-woman-from-muscel-1874.jpg;https://www.wikiart.org/en/nicolae-grigorescu;;yes;52.416;4.163.017;22.328.572;23.175.508;open;99.996;closed;6;51.431;43.402;4.823
418;Female;28;Post Renaissance Art;Realism;Vladimir Makovsky;A girl with geese;Asia;1875;https://use2-uploads1.wikiart.org/images/vladimir-makovsky/a-girl-with-geese-1875.jpg;https://www.wikiart.org/en/vladimir-makovsky;;no;33.068;13.853.062;70.024.323;-4.844.666;open;53.651;closed;449;2.9;39.623;11.667
420;Female;20;Post Renaissance Art;Neoclassicism;William-Adolphe Bouguereau;The Little Knitter;Europe;1882;https://use2-uploads2.wikiart.org/images/william-adolphe-bouguereau/the-little-knitter-1882.jpg;https://www.wikiart.org/en/william-adolphe-bouguereau;;yes;239;8.394.834;521.076;3.649.832;open;100;closed;0;6;98.367;156
421;Female;25;Post Renaissance Art;Neoclassicism;John William Godward;The Muse Erato at her Lyre;Australia;1895;https://use2-uploads4.wikiart.org/images/john-william-godward/the-muse-erato-at-her-lyre-1895.jpg;https://www.wikiart.org/en/john-william-godward;;no;13;17.341.635;0.9181266;59.013.298;closed;1.173;open;98.975;437;98.912;54
422;Female;23;Post Renaissance Art;Neoclassicism;John William Godward;Contemplation;Europe;1903;https://use2-uploads0.wikiart.org/images/john-william-godward/contemplation-1903.jpg;https://www.wikiart.org/en/john-william-godward;;no;26;-19.343.112;-70.242.267;24.506.693;open;99.965;closed;38;0;99.723;276
423;Female;29;Post Renaissance Art;Neoclassicism;John William Godward;Nerissa;Europe;1906;https://use2-uploads3.wikiart.org/images/john-william-godward/nerissa-1906.jpg;https://www.wikiart.org/en/john-william-godward;;yes;187;2.361.642;-64.054.394;-34.827.585;open;99.982;closed;3.653;14;99.624;146
424;Female;26;Post Renaissance Art;Neoclassicism;John William Godward;Under the Blossom that Hangs on the Bough;Europe;1917;https://use2-uploads1.wikiart.org/images/john-william-godward/under-the-blossom-that-hangs-on-the-bough-1917.jpg;https://www.wikiart.org/en/john-william-godward;;no;0.75;-38.595.169;-21.341.467;7.281.146;open;56;closed;0;1.034;84.726;10.218
425;Female;26;Post Renaissance Art;Neoclassicism;John William Godward;A Song without Words;Europe;1919;https://use2-uploads7.wikiart.org/images/john-william-godward/a-song-without-words-1919.jpg;https://www.wikiart.org/en/john-william-godward;;yes;60.145;-4.010.156;-54.153.282;80.924.736;closed;6.524;closed;0;21.553;66.637;3.807
426;Female;31;Post Renaissance Art;Neoclassicism;John William Godward;Contemplation;Europe;1922;https://use2-uploads0.wikiart.org/images/john-william-godward/contemplation-1922.jpg;https://www.wikiart.org/en/john-william-godward;;yes;203;-75.774.856;29.711.817;-12.636.443;open;99.997;open;126;83;99.833;71
427;Male;39;Post Renaissance Art;Neoclassicism;Alexandre Jacovleff;The Kuli-Kuta Dance, Niamey;Europe;1926;https://use2-uploads7.wikiart.org/images/alexandre-yevgenievich-jacovleff/the-kuli-kuta-dance-niamey-1926.jpg;https://www.wikiart.org/en/alexandre-jacovleff;;yes;90.528;17.379.036;9.180.663;3.323.635;open;555;open;984;1.256;26;59.619
428;Female;47;Renaissance Art;Early Renaissance;Masaccio;Portrait of a Young Man;North America;1423-1425;https://use2-uploads7.wikiart.org/images/masaccio/portrait-of-a-young-man-1425.jpg;https://www.wikiart.org/en/masaccio;;no;2.598;484.698;-2.690.304;76.677.315;closed;2;closed;0;4.127;56.115;111
443;Female;48;Renaissance Art;Northern Renaissance;Martin Schongauer;Portrait of a young woman;Europe;1475-1480;https://use2-uploads4.wikiart.org/images/martin-schongauer/portrait-of-a-young-woman.jpg;https://www.wikiart.org/en/martin-schongauer;;no;14.221;22.396.789;-17.497.347;17.873.049;open;100;closed;0;386;99.602;1
459;Female;28;Renaissance Art;High Renaissance;Giorgione;The Sleeping Venus;North America;1508-1510;https://use2-uploads3.wikiart.org/the-sleeping-venus-1510(2).jpg;https://www.wikiart.org/en/giorgione;;no;215;5.981.752;-4.375.413;10.656.422;closed;79;closed;3;9.718;89.316;487
564;Male;52;Renaissance Art;Northern Renaissance;Jan van Eyck;Portrait of Giovanni Arnolfini;South America;1435;https://use2-uploads0.wikiart.org/images/jan-van-eyck/portrait-of-giovanni-arnolfini-1435.jpg;https://www.wikiart.org/en/jan-van-eyck/portrait-of-giovanni-arnolfini-1435;https://www.wikiart.org/en/jan-van-eyck;no;489;11.212.548;-41.974.277;22.968.197;open;89.873;closed;0;1.065;97.19;1.359
574;Female;25;Post Renaissance Art;Realism;Vasily Tropinin;The Lacemaker;Europe;1823;https://use2-uploads8.wikiart.org/images/vasily-tropinin/the-lacemaker.jpg;https://www.wikiart.org/en/vasily-tropinin/the-lacemaker;https://www.wikiart.org/en/vasily-tropinin;no;3.068;-0.80643874;-18.041.588;4.785.442;closed;4.306;closed;0;1.06;98.828;5
578;Male;28;Renaissance Art;High Renaissance;Dosso Dossi;A Personification Of Geometry;Europe;XVI cent.;https://use2-uploads2.wikiart.org/images/dosso-dossi/a-personification-of-geometry.jpg;https://www.wikiart.org/en/dosso-dossi/a-personification-of-geometry;https://www.wikiart.org/en/dosso-dossi;yes;51.824;-33.183.012;14.448.154;-5.872.727;closed;20.764;closed;0;9;99.415;155
583;Female;39;Post Renaissance Art;Neoclassicism;Domingos Sequeira;Retrato de D. Carlota Joaquina, Rainha de Portugal;Europe;1802;https://use2-uploads5.wikiart.org/images/domingos-sequeira/retrato-de-d-carlota-joaquina-rainha-de-portugal-1802.jpg;https://www.wikiart.org/en/domingos-sequeira/retrato-de-d-carlota-joaquina-rainha-de-portugal-1802;https://www.wikiart.org/en/domingos-sequeira;no;2.133;0.032073714;29.568.589;-25.877.188;open;99.811;closed;45;2.709;94.972;0.31
585;Male;31;Renaissance Art;Northern Renaissance;Petrus Christus;Edward Grimston;Africa;1446;https://use2-uploads6.wikiart.org/images/petrus-christus/edward-grimston-1446.jpg;https://www.wikiart.org/en/petrus-christus/edward-grimston-1446;https://www.wikiart.org/en/petrus-christus;no;313;4.907.036;-16.130.209;-27.447.535;open;99.99;closed;1;2.39;88.498;35
590;Female;26;Post Renaissance Art;Rococo;Louise Elisabeth Vigee Le Brun;Anna Ivanovna Tolstaya;Asia;1774;https://use2-uploads5.wikiart.org/images/louise-elisabeth-vigee-le-brun/anna-ivanovna-tolstaya.jpg;https://www.wikiart.org/en/louise-elisabeth-vigee-le-brun/anna-ivanovna-tolstaya;https://www.wikiart.org/en/louise-elisabeth-vigee-le-brun;no;9.359;7.075.654;38.934.271;-1.807.042;open;99.58;closed;1.007;0.62;99.294;46
594;Female;25;Renaissance Art;Northern Renaissance;Maarten de Vos;The Rape of Europa;Australia;1590;https://use2-uploads4.wikiart.org/00103/images/maarten-de-vos/the-rape-of-europa-1590.jpg;https://www.wikiart.org/en/maarten-de-vos/the-rape-of-europa-1590;https://www.wikiart.org/en/maarten-de-vos;no;1.147;-12.347.165;-23.302.507;5.782.875;closed;14.628;closed;498;9.85;89.065;19
599;Male;20;Post Renaissance Art;Realism;Albert Anker;"Bildnis Emilie Weiss (mit Pl&#252;schtier)";Europe;1868;https://use2-uploads5.wikiart.org/images/albert-anker/bildnis-emilie-weiss-mit-pl-schtier-1868.jpg;https://www.wikiart.org/en/albert-anker/bildnis-emilie-weiss-mit-pl-schtier-1868;https://www.wikiart.org/en/albert-anker;no;157;5.210.959;5.918.475;-8.558.863;open;99.999;closed;211;87;55.216;8.668
621;Female;32;Post Renaissance Art;Baroque;Guido Reni;The Penitent Magdalene;North America;1635;https://use2-uploads8.wikiart.org/images/guido-reni/the-penitent-magdalene-1635.jpg;https://www.wikiart.org/en/guido-reni/the-penitent-magdalene-1635;https://www.wikiart.org/en/guido-reni;no;1.978;-2.211.943;22.965.208;546.345;open;80.339;closed;61;9.086;82.951;31
627;Male;66;Post Renaissance Art;Rococo;Joseph Ducreux;Self-portrait, yawning;Europe;1783;https://use2-uploads2.wikiart.org/images/joseph-ducreux/self-portrait-yawning-1783.jpg;https://www.wikiart.org/en/joseph-ducreux/self-portrait-yawning-1783;https://www.wikiart.org/en/joseph-ducreux;no;10.397;-12.680.047;-23.286.469;-30.047.028;open;84.324;closed;0;28;114;27.762
629;Female;35;Post Renaissance Art;Rococo;Jean-Marc Nattier;Portrait of Madame Maria Zeffirina;North America;1751;https://use2-uploads0.wikiart.org/images/jean-marc-nattier/portrait-of-madame-maria-zeffirina-1751.jpg;https://www.wikiart.org/en/jean-marc-nattier/portrait-of-madame-maria-zeffirina-1751;https://www.wikiart.org/en/jean-marc-nattier;no;3.156;20.336.998;9.447.328;29.451.752;open;51.191;closed;21;1.008;59.21;44
633;Male;45;Post Renaissance Art;Rococo;Fyodor Rokotov;Portrait of Count I.G.Orlov;South America;1762-1765;https://use2-uploads3.wikiart.org/images/fyodor-rokotov/portrait-of-count-i-g-orlov.jpg;https://www.wikiart.org/en/fyodor-rokotov/portrait-of-count-i-g-orlov;https://www.wikiart.org/en/fyodor-rokotov;no;4.569;-0.8823776;21.923.482;-15.238.022;open;99.731;closed;7;30.645;2.754;764
636;Male;40;Renaissance Art;Northern Renaissance;Dirk Bouts;Portrait of a Man;Europe;1462;https://use2-uploads3.wikiart.org/images/dirk-bouts/portrait-of-a-man-1462.jpg;https://www.wikiart.org/en/dirk-bouts/portrait-of-a-man-1462;https://www.wikiart.org/en/dirk-bouts;no;3.558;64.332.566;39.148.774;2.664.356;open;99.998;closed;0;363;99.456;5
653;Male;29;Post Renaissance Art;Neoclassicism;Theodore Chasseriau;Portrait de Mlle de Cabarrus;Europe;1848;https://use2-uploads5.wikiart.org/images/theodore-chasseriau/portrait-de-mlle-de-cabarrus-1848.jpg;https://www.wikiart.org/en/theodore-chasseriau/portrait-de-mlle-de-cabarrus-1848;https://www.wikiart.org/en/theodore-chasseriau;no;35;42.484.107;-0.32370892;66.990.094;open;99.97;closed;0.08;45;99.953;0
654;Male;41;Renaissance Art;Northern Renaissance;Bernhard Strigel;Portrait of a Gentleman;Europe;1520;https://use2-uploads1.wikiart.org/images/bernhard-strigel/portrait-of-a-gentleman.jpg;https://www.wikiart.org/en/bernhard-strigel/portrait-of-a-gentleman;https://www.wikiart.org/en/bernhard-strigel;no;7;4.808.269;-29.449.222;15.038.631;open;98.421;closed;0;5;99.991;0
657;Female;53;Post Renaissance Art;Romanticism;Orest Kiprensky;Portrait of A. Davydov;Africa;1809;https://use2-uploads3.wikiart.org/images/orest-kiprensky/portrait-of-a-davydov-1809.jpg;https://www.wikiart.org/en/orest-kiprensky/portrait-of-a-davydov-1809;https://www.wikiart.org/en/orest-kiprensky;no;0;28.979.547;-405.533;1.792.543;open;99.998;closed;5;2;99.21;2
665;Female;40;Renaissance Art;High Renaissance;Giovanni Antonio Boltraffio;Madonna and Child;Asia;1500;https://use2-uploads2.wikiart.org/images/giovanni-antonio-boltraffio/madonna-and-child-1500.jpg;https://www.wikiart.org/en/giovanni-antonio-boltraffio/madonna-and-child-1500;https://www.wikiart.org/en/giovanni-antonio-boltraffio;no;14.062;9.533.469;3.249.614;5.217.456;closed;165;closed;0;95.598;1.678;2.591
669;Male;24;Post Renaissance Art;Neoclassicism;John Singleton Copley;Boy with Squirrel (Henry Pelham);Australia;1765;https://use2-uploads0.wikiart.org/images/john-singleton-copley/boy-with-squirrel-henry-pelham-1765.jpg;https://www.wikiart.org/en/john-singleton-copley/boy-with-squirrel-henry-pelham-1765;https://www.wikiart.org/en/john-singleton-copley;no;182;-9.380.261;-19.773.779;9.169.021;closed;0;closed;4;1.904;95.532;11
702;Female;24;Post Renaissance Art;Neoclassicism;Louise Elisabeth Vigee Le Brun;Portrait of Anna Pitt as Hebe;Europe;1792;https://use2-uploads8.wikiart.org/images/louise-elisabeth-vigee-le-brun/portrait-of-anna-pitt-as-hebe-1792.jpg;https://www.wikiart.org/en/louise-elisabeth-vigee-le-brun/portrait-of-anna-pitt-as-hebe-1792;https://www.wikiart.org/en/louise-elisabeth-vigee-le-brun;no;166;51.680.984;-12.896.024;42.711.673;open;99.57;closed;1;2.305;88.917;4
715;Female;47;Renaissance Art;Early Renaissance;Domenico Ghirlandaio;Portrait of Giovane Donna;North America;XV cent.;https://use2-uploads7.wikiart.org/images/domenico-ghirlandaio/portrait-of-giovane-donna.jpg;https://www.wikiart.org/en/domenico-ghirlandaio/portrait-of-giovane-donna;https://www.wikiart.org/en/domenico-ghirlandaio;no;73;5.308.079;6.245.734;27.117.826;open;99.999;closed;0;13;42.111;55.235
726;Male;36;Renaissance Art;Early Renaissance;Antonello da Messina;Portrait of a Man (The Condottiero);Europe;1475;https://use2-uploads2.wikiart.org/images/antonello-da-messina/portrait-of-a-man-the-condottiero-1475.jpg;https://www.wikiart.org/en/antonello-da-messina/portrait-of-a-man-the-condottiero-1475;https://www.wikiart.org/en/antonello-da-messina;no;222;-39.541.612;38.058.674;37.547.356;open;100;closed;5;535;81.012;97
