ID;gender;age;Style;Category;Artist;Title;area;Year;url;Artist Info URL;;smile;smiledetailed;pitch;roll;yaw;eyes;eyesdetailed;mouth;mouthdetailed;happiness;neutral;sadness
143;Female;33;Post Renaissance Art;Romanticism;Thomas Lawrence;Henrietta Maria Hill, Marchioness of Ailesbury;Europe;1809;https://use2-uploads0.wikiart.org/images/thomas-lawrence/henrietta-maria-hill-marchioness-of-ailesbury-1809.jpg;https://www.wikiart.org/en/thomas-lawrence;;no;0.04;-8.24138;-1.037731;36.84229;open;99.883;closed;0;84;99.808;5
144;Female;36;Post Renaissance Art;Realism;Carolus-Duran;Portrait of Madame Marie Clerc;Europe;1874;https://use2-uploads8.wikiart.org/00121/images/carolus-duran/portrait-of-madame-marie-clerc-1974.jpg;https://www.wikiart.org/en/carolus-duran;;no;13;9.600755;9.168089;0.97934747;open;99.965;closed;46.739;857;99.134;1
145;Male;44;Post Renaissance Art;Romanticism;Orest Kiprensky;Portrait of Colonel Evgraf V. Davydov;Europe;1809;https://use2-uploads0.wikiart.org/images/orest-kiprensky/portrait-of-colonel-evgraf-v-davydov-1809.jpg;https://www.wikiart.org/en/orest-kiprensky;;no;37;1.1645079;2.349157;14.446977;open;99.997;closed;3;0;99.666;0
146;Female;54;Post Renaissance Art;Baroque;Judith Leyster;Laughing Children with a Cat;Europe;1629;https://use2-uploads0.wikiart.org/images/judith-leyster/laughing-children-with-a-cat-1629.jpg;https://www.wikiart.org/en/judith-leyster;;yes;99.938;-19.15046;-19.603746;16.969841;open;98.654;open;99.192;95.395;135;2.728
147;Male;82;Post Renaissance Art;Romanticism;David Wilkie;Sir Robert Liston,  Diplomat;Europe;1811;https://use2-uploads5.wikiart.org/images/david-wilkie/sir-robert-liston-diplomat-1811.jpg;https://www.wikiart.org/en/david-wilkie;;yes;389;1.039991;-3.1983325;19.850996;open;99.989;closed;16;612;98.904;1
148;Male;26;Post Renaissance Art;Baroque;Caravaggio;Young Sick Bacchus;Europe;1593;https://use2-uploads2.wikiart.org/images/caravaggio/young-sick-bacchus(1).jpg;https://www.wikiart.org/en/caravaggio;;yes;475;0.5533059;-18.538713;-21.103905;open;70.404;open;95.553;15.847;66.179;24
150;Female;34;Post Renaissance Art;Neoclassicism;Ary Scheffer;Julie Salis Schwabe;Europe;1850;https://use2-uploads8.wikiart.org/00151/images/ary-scheffer/julie-salis-schwabe-1850.jpg;https://www.wikiart.org/en/ary-scheffer;;no;9;3.5003192;4.4979243;9.415342;open;99.796;closed;0;0.05;99.881;39
151;Female;27;Post Renaissance Art;Baroque;Agostino Carracci;Portrait of Christine of Lorraine, Grand Duchess of Tuscany;Europe;1589;https://use2-uploads6.wikiart.org/images/agostino-carracci/portrait-of-christine-of-lorraine-grand-duchess-of-tuscany-1589.jpg;https://www.wikiart.org/en/agostino-carracci;;no;3.866;14.170956;0.78634304;16.251755;open;98.058;open;97.111;484;99.443;4
152;Female;18;Post Renaissance Art;Baroque;Artemisia Gentileschi;Woman Playing a Lute;Europe;1628;https://use2-uploads3.wikiart.org/images/artemisia-gentileschi/woman-playing-a-lute.jpg;https://www.wikiart.org/en/artemisia-gentileschi;;no;5.217;-21.497852;-17.311537;64.57305;closed;0.23;open;96.948;25;99.853;0
153;Male;32;Post Renaissance Art;Neoclassicism;John Simpson ;Sir John Fleming Leicester;Europe;1826;https://use2-uploads5.wikiart.org/images/john-simpson/sir-john-fleming-leicester-1826.jpg;https://www.wikiart.org/en/john-simpson;;yes;316;5.3853116;-9.343349;15.785755;open;97.781;closed;33;188;71.569;53
154;Male;25;Post Renaissance Art;Romanticism;John Hoppner;Peter Leopold Nassau Cowper, 5th Earl Cowper;Europe;1750;https://use2-uploads8.wikiart.org/images/john-hoppner/peter-leopold-nassau-cowper-5th-earl-cowper.jpg;https://www.wikiart.org/en/john-hoppner;;no;1;2.6508937;-0.683109;-5.550248;open;99.936;closed;0;0;100.0;0
155;Female;42;Post Renaissance Art;Baroque;Frans Hals;Fisher Boy;Europe;1630;https://use2-uploads5.wikiart.org/images/frans-hals/fisher-boy-1632.jpg;https://www.wikiart.org/en/frans-hals;;yes;99.098;-2.466295;-17.317781;14.522519;open;100;closed;41.801;99.638;157;193
156;Female;22;Post Renaissance Art;Neoclassicism;Theodore Chasseriau;The Two Sisters;Europe;1843;https://use2-uploads1.wikiart.org/images/theodore-chasseriau/the-two-sisters-1843.jpg;https://www.wikiart.org/en/theodore-chasseriau;;yes;225;-0.08443821;-1.1766;-25.464308;open;98.896;closed;0;15;99.985;0
157;Female;26;Post Renaissance Art;Rococo;George Romney;Charlotte Bettesworth (c.1755â1841), Mrs John Sargent;Europe;1778;https://use2-uploads3.wikiart.org/images/george-romney/charlotte-bettesworth-c-1755-1841-mrs-john-sargent-1778.jpg;https://www.wikiart.org/en/george-romney;;no;37;4.9888296;16.596262;-18.55045;open;99.951;closed;0;569;99.411;2
158;Male;54;Post Renaissance Art;Realism;Vasily Perov;Portrait of the Author Feodor Dostoyevsky;Europe;1872;https://use2-uploads2.wikiart.org/images/vasily-perov/portrait-of-the-author-feodor-dostoyevsky-1872.jpg;https://www.wikiart.org/en/vasily-perov;;no;3;3.1295283;5.8150196;50.29585;open;99.954;closed;0;0.09;13.579;22.642
159;Female;40;Post Renaissance Art;Romanticism;David Allan;Portrait of Two Boys;Europe;1783;https://use2-uploads7.wikiart.org/images/david-allan/portrait-of-two-boys-1783.jpg;https://www.wikiart.org/en/david-allan;;no;16.684;5.470289;0.5136464;1.2832253;open;99.389;closed;0;87.8;11.43;206
160;Male;58;Post Renaissance Art;Neoclassicism;Alexandre Jacovleff;Portrait of Vasily Shuhaev in his Studio;Europe;1928;https://use2-uploads4.wikiart.org/images/alexandre-yevgenievich-jacovleff/portrait-of-vasily-shuhaeva-in-his-studio-1928.jpg;https://www.wikiart.org/en/alexandre-jacovleff;;yes;323;-3.2047844;2.8313434;35.862095;open;75.473;closed;1;23.107;72.025;0.02
161;Female;32;Post Renaissance Art;Rococo;Jean-Baptiste Greuze;Portrait of Madame Courcelles;Europe;1750;https://use2-uploads7.wikiart.org/images/jean-baptiste-greuze/portrait-of-madame-courcelles-1750.jpg;https://www.wikiart.org/en/jean-baptiste-greuze;;no;11.57;3.7545373;5.2266836;-8.01471;open;99.984;closed;3.886;4.066;40.529;2
162;Male;29;Post Renaissance Art;Baroque;Francisco de Zurbaran;Portrait of Fra Zumel Francisco;Europe;1633;https://use2-uploads2.wikiart.org/images/francisco-zurbaran/portrait-of-fra-zumel-francisco.jpg;https://www.wikiart.org/en/francisco-de-zurbaran;;yes;645;-2.196915;-12.039566;-13.082902;open;95.815;closed;21;19;97.751;42
163;Male;18;Post Renaissance Art;Romanticism;Thomas Lawrence;John Arthur Douglas Bloomfield, 2nd Baron Bloomfield;Europe;1819;https://use2-uploads6.wikiart.org/images/thomas-lawrence/john-arthur-douglas-bloomfield-2nd-baron-bloomfield-1819.jpg;https://www.wikiart.org/en/thomas-lawrence;;no;6.286;-3.040511;-0.6556623;52.28762;open;96.693;closed;3;81.884;14.87;1.729
164;Male;22;Post Renaissance Art;Baroque;Caravaggio;Boy with a Basket of Fruit;Europe;1593;https://use2-uploads1.wikiart.org/images/caravaggio/boy-with-a-basket-of-fruit(1).jpg;https://www.wikiart.org/en/caravaggio;;no;6.5;-3.6507044;-16.772604;-29.14662;open;99.924;open;79.006;1;99.09;0
165;Female;46;Post Renaissance Art;Neoclassicism;Domingos Sequeira;"Retrato de D. Jo&#227;o VI";Europe;1750;https://use2-uploads8.wikiart.org/images/domingos-sequeira/retrato-de-d-jo-o-vi.jpg;https://www.wikiart.org/en/domingos-sequeira;;no;18;11.179599;-4.1157994;23.11449;open;98.724;open;99.973;11;98.557;6
166;Male;29;Post Renaissance Art;Neoclassicism;Dmitry Levitzky;Portrait of Alexander Lanskoy, Aide-de-camp to the Empress;Europe;1782;https://use2-uploads3.wikiart.org/images/dmitry-levitzky/portrait-of-alexander-lanskoy-aide-de-camp-to-the-empress-1782.jpg;https://www.wikiart.org/en/dmitry-levitzky;;no;4.837;3.5634723;-2.8686447;-22.993975;open;99.984;closed;1;2.628;95.29;11
167;Male;41;Post Renaissance Art;Romanticism;David Allan;Sir William Hamilton;Europe;1775;https://use2-uploads7.wikiart.org/images/david-allan/sir-william-hamilton-1775.jpg;https://www.wikiart.org/en/david-allan;;no;15;1.0438133;-3.2724652;22.706955;open;94.471;closed;0;189;99.518;279
168;Male;40;Post Renaissance Art;Baroque;Anthony van Dyck;Self portrait with a Sunflower;Europe;1632;https://use2-uploads4.wikiart.org/images/anthony-van-dyck/self-portrait-with-a-sunflower-1632.jpg;https://www.wikiart.org/en/anthony-van-dyck;;yes;641;3.3100293;-4.241677;-44.116585;open;99.898;closed;0;1.296;98.685;2
169;Male;46;Post Renaissance Art;Realism;George Catlin;"Ah-yaw-ne-tak-o&#225;r-ron, a Warrior";North America;1831;https://use2-uploads2.wikiart.org/images/george-catlin/ah-yaw-ne-tak-o-r-ron-a-warrior-1831.jpg;https://www.wikiart.org/en/george-catlin;;yes;701;5.786649;-0.74927175;2.6474104;open;98.404;closed;18.962;312;68.627;30.696
170;Male;33;Post Renaissance Art;Neoclassicism;William Hamilton;"John Philip Kemble (1757â1823), as Richard in &#39;Richard III&#39; by William Shakespeare";Europe;1788;https://use2-uploads6.wikiart.org/images/william-hamilton/john-philip-kemble-1757-1823-as-richard-in-richard-iii-by-william-shakespeare-1788.jpg;https://www.wikiart.org/en/william-hamilton;;no;13.173;4.232541;22.610292;43.251812;closed;1.241;open;99.789;22;81.581;19
